[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
0,70.0,set(),1,70.0,{14},{14},70.0,0
1,70.0,{5},0,70.0,set(),{5},70.0,0
0,70.0,set(),2,70.0,"{1, 14}","{1, 14}",70.0,0
1,70.0,{5},1,70.0,{14},"{5, 14}",70.0,0
2,70.0,"{3, 5}",0,70.0,set(),"{3, 5}",70.0,0
0,70.0,set(),3,70.0,"{1, 14, 25}","{1, 14, 25}",70.0,0
1,70.0,{5},2,70.0,"{1, 14}","{1, 5, 14}",70.0,0
2,70.0,"{3, 5}",1,70.0,{14},"{3, 5, 14}",70.0,0
3,70.0,"{9, 3, 5}",0,70.0,set(),"{9, 3, 5}",70.0,0
0,70.0,set(),4,70.0,"{1, 23, 14, 25}","{1, 23, 14, 25}",70.0,0
1,70.0,{5},3,70.0,"{1, 14, 25}","{1, 5, 14, 25}",70.0,0
2,70.0,"{3, 5}",2,70.0,"{1, 14}","{1, 3, 5, 14}",70.0,0
3,70.0,"{9, 3, 5}",1,70.0,{14},"{9, 3, 5, 14}",70.0,0
